title,author,abstractstract,main_subject,other_subjects,submission_date
heSRPT: Optimal Parallel Scheduling of Jobs With Known Sizes,"Benjamin Berg, Rein Vesilo, Mor Harchol-Balter","When parallelizing a set of jobs across many servers, one must balance a
trade-off between granting priority to short jobs and maintaining the overall
efficiency of the system. When the goal is to minimize the mean flow time of a
set of jobs, it is usually the case that one wants to complete short jobs
before long jobs. However, since jobs usually cannot be parallelized with
perfect efficiency, granting strict priority to the short jobs can result in
very low system efficiency which in turn hurts the mean flow time across jobs.
In this paper, we derive the optimal policy for allocating servers to jobs at
every moment in time in order to minimize mean flow time across jobs. We assume
that jobs follow a sublinear, concave speedup function, and hence jobs
experience diminishing returns from being allocated additional servers. We show
that the optimal policy, heSRPT, will complete jobs according to their size
order, but maintains overall system efficiency by allocating some servers to
each job at every moment in time. We compare heSRPT with state-of-the-art
allocation policies from the literature and show that heSRPT outperforms its
competitors by at least 30%, and often by much more.",Performance (cs.PF),,[Submitted on 22 Mar 2019]
Understanding and taming SSD read performance variability: HDFS case study,"María F. Borge, Florin Dinu, Willy Zwaenepoel","In this paper we analyze the influence that lower layers (file system, OS,
SSD) have on HDFS' ability to extract maximum performance from SSDs on the read
path. We uncover and analyze three surprising performance slowdowns induced by
lower layers that result in HDFS read throughput loss. First, intrinsic
slowdown affects reads from every new file system extent for a variable amount
of time. Second, temporal slowdown appears temporarily and periodically and is
workload-agnostic. Third, in permanent slowdown, some files can individually
and permanently become slower after a period of time. We analyze the impact of
these slowdowns on HDFS and show significant throughput loss. Individually,
each of the slowdowns can cause a read throughput loss of 10-15%. However,
their effect is cumulative. When all slowdowns happen concurrently, read
throughput drops by as much as 30%. We further analyze mitigation techniques
and show that two of the three slowdowns could be addressed via increased IO
request parallelism in the lower layers. Unfortunately, HDFS cannot
automatically adapt to use such additional parallelism. Our results point to a
need for adaptability in storage stacks. The reason is that an access pattern
that maximizes performance in the common case is not necessarily the same one
that can mask performance fluctuations.",Operating Systems (cs.OS),; Performance (cs.PF),[Submitted on 22 Mar 2019]
A Comprehensive Performance Evaluation of a DF-Based Multi-Hop System Over $α-κ-μ$ and $α-κ-μ$-Extreme Fading Channels,"Tau Raphael Rasethuntsa, Sandeep Kumar, Manpreet Kaur","In this work, an integrated performance evaluation of a decode-and-forward
(DF) multi-hop wireless communication system is undertaken over the non-linear
generalized $\alpha-\kappa-\mu$ and $\alpha-\kappa-\mu$-Extreme fading models.
Analytical formulas for the probability density function (PDF) and the
cumulative distribution function (CDF) of the received signal-to-noise ratio
(SNR) as well as its generalized moments and moment generating function (MGF)
are derived. Based on the derived PDFs, novel closed-form expressions for
traditional performance metrics such as amount of fading (AF), outage
probability (OP), bit error rate (BER) under coherent and non-coherent
modulation schemes as well as channel capacity under various adaptive
transmission techniques are derived. Additionally, asymptotic analyses of BER
based on Poincare series expansions of SNR PDFs are carried out and results
show good approximations for low SNR regimes. The correctness of the proposed
solutions has been corroborated by comparing them with Monte Carlo simulation
results.",Information Theory (cs.IT),,[Submitted on 22 Mar 2019]
A Model Counter's Guide to Probabilistic Systems,"Marcell Vazquez-Chanlatte, Markus N. Rabe, Sanjit A. Seshia","In this paper, we systematize the modeling of probabilistic systems for the
purpose of analyzing them with model counting techniques. Starting from
unbiased coin flips, we show how to model biased coins, correlated coins, and
distributions over finite sets. From there, we continue with modeling
sequential systems, such as Markov chains, and revisit the relationship between
weighted and unweighted model counting. Thereby, this work provides a
conceptual framework for deriving #SAT encodings for probabilistic inference.",Logic in Computer Science (cs.LO),; Artificial Intelligence (cs.AI),[Submitted on 22 Mar 2019]
A Double-Edged Sword: Security Threats and Opportunities in One-Sided Network Communication,"Shin-Yeh Tsai, Yiying Zhang","One-sided network communication technologies such as RDMA and
NVMe-over-Fabrics are quickly gaining adoption in production software and in
datacenters. Although appealing for their low CPU utilization and good
performance, they raise new security concerns that could seriously undermine
datacenter software systems building on top of them. At the same time, they
offer unique opportunities to help enhance security. Indeed, one-sided network
communication is a double-edged sword in security. This paper presents our
insights into security implications and opportunities of one-sided
communication.",Cryptography and Security (cs.CR),,"[Submitted on 22 Mar 2019 (v1), last revised 15 May 2019 (this version, v2)]"
Efficient Algorithms for Geometric Partial Matching,"Pankaj K. Agarwal, Hsien-Chih Chang, Allen Xiao","Let $A$ and $B$ be two point sets in the plane of sizes $r$ and $n$
respectively (assume $r \leq n$), and let $k$ be a parameter. A matching
between $A$ and $B$ is a family of pairs in $A \times B$ so that any point of
$A \cup B$ appears in at most one pair. Given two positive integers $p$ and
$q$, we define the cost of matching $M$ to be $c(M) = \sum_{(a, b) \in
M}\|{a-b}\|_p^q$ where $\|{\cdot}\|_p$ is the $L_p$-norm. The geometric partial
matching problem asks to find the minimum-cost size-$k$ matching between $A$
and $B$.
We present efficient algorithms for geometric partial matching problem that
work for any powers of $L_p$-norm matching objective: An exact algorithm that
runs in $O((n + k^2) {\mathop{\mathrm{polylog}}} n)$ time, and a $(1 +
\varepsilon)$-approximation algorithm that runs in $O((n + k\sqrt{k})
{\mathop{\mathrm{polylog}}} n \cdot \log\varepsilon^{-1})$ time. Both
algorithms are based on the primal-dual flow augmentation scheme; the main
improvements involve using dynamic data structures to achieve efficient flow
augmentations. With similar techniques, we give an exact algorithm for the
planar transportation problem running in $O(\min\{n^2, rn^{3/2}\}
{\mathop{\mathrm{polylog}}} n)$ time.",Data Structures and Algorithms (cs.DS),; Computational Geometry (cs.CG),[Submitted on 22 Mar 2019]
3D Face Reconstruction from A Single Image Assisted by 2D Face Images in the Wild,"Xiaoguang Tu, Jian Zhao, Zihang Jiang, Yao Luo, Mei Xie, Yang Zhao, Linxiao He, Zheng Ma, Jiashi Feng","3D face reconstruction from a single 2D image is a challenging problem with
broad applications. Recent methods typically aim to learn a CNN-based 3D face
model that regresses coefficients of 3D Morphable Model (3DMM) from 2D images
to render 3D face reconstruction or dense face alignment. However, the shortage
of training data with 3D annotations considerably limits performance of those
methods. To alleviate this issue, we propose a novel 2D-assisted
self-supervised learning (2DASL) method that can effectively use ""in-the-wild""
2D face images with noisy landmark information to substantially improve 3D face
model learning. Specifically, taking the sparse 2D facial landmarks as
additional information, 2DSAL introduces four novel self-supervision schemes
that view the 2D landmark and 3D landmark prediction as a self-mapping process,
including the 2D and 3D landmark self-prediction consistency, cycle-consistency
over the 2D landmark prediction and self-critic over the predicted 3DMM
coefficients based on landmark predictions. Using these four self-supervision
schemes, the 2DASL method significantly relieves demands on the the
conventional paired 2D-to-3D annotations and gives much higher-quality 3D face
models without requiring any additional 3D annotations. Experiments on multiple
challenging datasets show that our method outperforms state-of-the-arts for
both 3D face reconstruction and dense face alignment by a large margin.",Computer Vision and Pattern Recognition (cs.CV),,"[Submitted on 22 Mar 2019 (v1), last revised 3 May 2020 (this version, v2)]"
Gabidulin Codes with Support Constrained Generator Matrices,"Hikmet Yildiz, Babak Hassibi","Gabidulin codes are the first general construction of linear codes that are
maximum rank distant (MRD). They have found applications in linear network
coding, for example, when the transmitter and receiver are oblivious to the
inner workings and topology of the network (the so-called incoherent regime).
The reason is that Gabidulin codes can be used to map information to linear
subspaces, which in the absence of errors cannot be altered by linear
operations, and in the presence of errors can be corrected if the subspace is
perturbed by a small rank. Furthermore, in distributed coding and distributed
systems, one is led to the design of error correcting codes whose generator
matrix must satisfy a given support constraint. In this paper, we give
necessary and sufficient conditions on the support of the generator matrix that
guarantees the existence of Gabidulin codes and general MRD codes. When the
rate of the code is not very high, this is achieved with the same field size
necessary for Gabidulin codes with no support constraint. When these conditions
are not satisfied, we characterize the largest possible rank distance under the
support constraints and show that they can be achieved by subcodes of Gabidulin
codes. The necessary and sufficient conditions are identical to those that
appear for MDS codes which were recently proven by Yildiz et al. and Lovett in
the context of settling the GM-MDS conjecture.",Information Theory (cs.IT),,"[Submitted on 22 Mar 2019 (v1), last revised 19 Nov 2019 (this version, v2)]"
ERHARD-RNG: A Random Number Generator Built from Repurposed Hardware in Embedded Systems,"Jacob Grycel, Robert J. Walls","Quality randomness is fundamental to cryptographic operations but on embedded
systems good sources are (seemingly) hard to find. Rather than use expensive
custom hardware, our ERHARD-RNG Pseudo-Random Number Generator (PRNG) utilizes
entropy sources that are already common in a range of low-cost embedded
platforms. We empirically evaluate the entropy provided by three sources---SRAM
startup state, oscillator jitter, and device temperature---and integrate those
sources into a full Pseudo-Random Number Generator implementation based on
Fortuna. Our system addresses a number of fundamental challenges affecting
random number generation on embedded systems. For instance, we propose SRAM
startup state as a means to efficiently generate the initial seed---even for
systems that do not have writeable storage. Further, the system's use of
oscillator jitter allows for the continuous collection of entropy-generating
events---even for systems that do not have the user-generated events that are
commonly used in general-purpose systems for entropy, e.g., key presses or
network events.",Cryptography and Security (cs.CR),,"[Submitted on 22 Mar 2019 (v1), last revised 11 Nov 2019 (this version, v2)]"
Macro Action Reinforcement Learning with Sequence Disentanglement using Variational Autoencoder,"Heecheol Kim, Masanori Yamada, Kosuke Miyoshi, Hiroshi Yamakawa","One problem in the application of reinforcement learning to real-world
problems is the curse of dimensionality on the action space. Macro actions, a
sequence of primitive actions, have been studied to diminish the dimensionality
of the action space with regard to the time axis. However, previous studies
relied on humans defining macro actions or assumed macro actions as repetitions
of the same primitive actions. We present Factorized Macro Action Reinforcement
Learning (FaMARL) which autonomously learns disentangled factor representation
of a sequence of actions to generate macro actions that can be directly applied
to general reinforcement learning algorithms. FaMARL exhibits higher scores
than other reinforcement learning algorithms on environments that require an
extensive amount of search.",Machine Learning (cs.LG),; Artificial Intelligence (cs.AI); Robotics (cs.RO); Applications (stat.AP); Machine Learning (stat.ML),"[Submitted on 22 Mar 2019 (v1), last revised 4 Jun 2019 (this version, v2)]"
Joint Switch Upgrade and Controller Deployment in Hybrid Software-Defined Networks,"Zehua Guo, Weikun Chen, Ya-Feng Liu, Yang Xu, Zhi-Li Zhang","To improve traffic management ability, Internet Service Providers (ISPs) are
gradually upgrading legacy network devices to programmable devices that support
Software-Defined Networking (SDN). The coexistence of legacy and SDN devices
gives rise to a hybrid SDN. Existing hybrid SDNs do not consider the potential
performance issues introduced by a centralized SDN controller: flow requests
processed by a highly loaded controller may experience long tail processing
delay; inappropriate multi-controller deployment could increase the propagation
delay of flow requests.
In this paper, we propose to jointly consider the deployment of SDN switches
and their controllers for hybrid SDNs. We formulate the joint problem as an
optimization problem that maximizes the number of flows that can be controlled
and managed by the SDN and minimizes the propagation delay of flow requests
between SDN controllers and switches under a given upgrade budget constraint.
We show this problem is NP-hard. To efficiently solve the problem, we propose
some techniques (e.g., strengthening the constraints and adding additional
valid inequalities) to accelerate the global optimization solver for solving
the problem for small networks and an efficient heuristic algorithm for solving
it for large networks. The simulation results from real network topologies
illustrate the effectiveness of the proposed techniques and show that our
proposed heuristic algorithm uses a small number of controllers to manage a
high amount of flows with good performance.",Networking and Internet Architecture (cs.NI),,"[Submitted on 22 Mar 2019 (v1), last revised 23 Jul 2019 (this version, v2)]"
Few-shot Adaptive Faster R-CNN,"Tao Wang, Xiaopeng Zhang, Li Yuan, Jiashi Feng","To mitigate the detection performance drop caused by domain shift, we aim to
develop a novel few-shot adaptation approach that requires only a few target
domain images with limited bounding box annotations. To this end, we first
observe several significant challenges. First, the target domain data is highly
insufficient, making most existing domain adaptation methods ineffective.
Second, object detection involves simultaneous localization and classification,
further complicating the model adaptation process. Third, the model suffers
from over-adaptation (similar to overfitting when training with a few data
example) and instability risk that may lead to degraded detection performance
in the target domain. To address these challenges, we first introduce a pairing
mechanism over source and target features to alleviate the issue of
insufficient target domain samples. We then propose a bi-level module to adapt
the source trained detector to the target domain: 1) the split pooling based
image level adaptation module uniformly extracts and aligns paired local patch
features over locations, with different scale and aspect ratio; 2) the instance
level adaptation module semantically aligns paired object features while avoids
inter-class confusion. Meanwhile, a source model feature regularization (SMFR)
is applied to stabilize the adaptation process of the two modules. Combining
these contributions gives a novel few-shot adaptive Faster-RCNN framework,
termed FAFRCNN, which effectively adapts to target domain with a few labeled
samples. Experiments with multiple datasets show that our model achieves new
state-of-the-art performance under both the interested few-shot domain
adaptation(FDA) and unsupervised domain adaptation(UDA) setting.",Computer Vision and Pattern Recognition (cs.CV),,[Submitted on 22 Mar 2019]
Deep Hierarchical Reinforcement Learning Based Recommendations via Multi-goals Abstraction,"Dongyang Zhao, Liang Zhang, Bo Zhang, Lizhou Zheng, Yongjun Bao, Weipeng Yan","The recommender system is an important form of intelligent application, which
assists users to alleviate from information redundancy. Among the metrics used
to evaluate a recommender system, the metric of conversion has become more and
more important. The majority of existing recommender systems perform poorly on
the metric of conversion due to its extremely sparse feedback signal. To tackle
this challenge, we propose a deep hierarchical reinforcement learning based
recommendation framework, which consists of two components, i.e., high-level
agent and low-level agent. The high-level agent catches long-term sparse
conversion signals, and automatically sets abstract goals for low-level agent,
while the low-level agent follows the abstract goals and interacts with
real-time environment. To solve the inherent problem in hierarchical
reinforcement learning, we propose a novel deep hierarchical reinforcement
learning algorithm via multi-goals abstraction (HRL-MG). Our proposed algorithm
contains three characteristics: 1) the high-level agent generates multiple
goals to guide the low-level agent in different stages, which reduces the
difficulty of approaching high-level goals; 2) different goals share the same
state encoder parameters, which increases the update frequency of the
high-level agent and thus accelerates the convergence of our proposed
algorithm; 3) an appreciate benefit assignment function is designed to allocate
rewards in each goal so as to coordinate different goals in a consistent
direction. We evaluate our proposed algorithm based on a real-world e-commerce
dataset and validate its effectiveness.",Machine Learning (cs.LG),; Artificial Intelligence (cs.AI); Information Retrieval (cs.IR),[Submitted on 22 Mar 2019]
Multi-modal Probabilistic Prediction of Interactive Behavior via an Interpretable Model,"Yeping Hu, Wei Zhan, Liting Sun, Masayoshi Tomizuka","For autonomous agents to successfully operate in real world, the ability to
anticipate future motions of surrounding entities in the scene can greatly
enhance their safety levels since potentially dangerous situations could be
avoided in advance. While impressive results have been shown on predicting each
agent's behavior independently, we argue that it is not valid to consider road
entities individually since transitions of vehicle states are highly coupled.
Moreover, as the predicted horizon becomes longer, modeling prediction
uncertainties and multi-modal distributions over future sequences will turn
into a more challenging task. In this paper, we address this challenge by
presenting a multi-modal probabilistic prediction approach. The proposed method
is based on a generative model and is capable of jointly predicting sequential
motions of each pair of interacting agents. Most importantly, our model is
interpretable, which can explain the underneath logic as well as obtain more
reliability to use in real applications. A complicate real-world roundabout
scenario is utilized to implement and examine the proposed method.",Machine Learning (cs.LG),; Machine Learning (stat.ML),"[Submitted on 22 Mar 2019 (v1), last revised 2 Jun 2019 (this version, v2)]"
Learning with Delayed Synaptic Plasticity,"Anil Yaman, Giovanni Iacca, Decebal Constantin Mocanu, George Fletcher, Mykola Pechenizkiy","The plasticity property of biological neural networks allows them to perform
learning and optimize their behavior by changing their configuration. Inspired
by biology, plasticity can be modeled in artificial neural networks by using
Hebbian learning rules, i.e. rules that update synapses based on the neuron
activations and reinforcement signals. However, the distal reward problem
arises when the reinforcement signals are not available immediately after each
network output to associate the neuron activations that contributed to
receiving the reinforcement signal. In this work, we extend Hebbian plasticity
rules to allow learning in distal reward cases. We propose the use of neuron
activation traces (NATs) to provide additional data storage in each synapse to
keep track of the activation of the neurons. Delayed reinforcement signals are
provided after each episode relative to the networks' performance during the
previous episode. We employ genetic algorithms to evolve delayed synaptic
plasticity (DSP) rules and perform synaptic updates based on NATs and delayed
reinforcement signals. We compare DSP with an analogous hill climbing algorithm
that does not incorporate domain knowledge introduced with the NATs, and show
that the synaptic updates performed by the DSP rules demonstrate more effective
training performance relative to the HC algorithm.",Neural and Evolutionary Computing (cs.NE),,"[Submitted on 22 Mar 2019 (v1), last revised 17 Apr 2019 (this version, v2)]"
Concurrent Transmission Scheduling for Perceptual Data Sharing in mmWave Vehicular Networks,"Akihito Taya, Takayuki Nishio, Masahiro Morikura, Koji Yamamoto","Sharing perceptual data with other vehicles enhances the traffic safety of
autonomous vehicles because it helps vehicles locate other vehicles and
pedestrians in their blind spots. Such safety applications require high
throughput and short delay, which cannot be achieved by conventional microwave
vehicular communication systems. Therefore, millimeter-wave (mmWave)
communications are considered to be a key technology for sharing perceptual
data because of their wide bandwidth. One of the challenges of data sharing in
mmWave communications is broadcasting because narrow-beam directional antennas
are used to obtain high gain. Because many vehicles should share their
perceptual data to others within a short time frame in order to enlarge the
areas that can be perceived based on shared perceptual data, an efficient
scheduling for concurrent transmission that improves spatial reuse is required
for perceptual data sharing. This paper proposes a data sharing algorithm that
employs a graph-based concurrent transmission scheduling. The proposed
algorithm realizes concurrent transmission to improve spatial reuse by
designing a rule that is utilized to determine if the two pairs of transmitters
and receivers interfere with each other by considering the radio propagation
characteristics of narrow-beam antennas. A prioritization method that considers
the geographical information in perceptual data is also designed to enlarge
perceivable areas in situations where data sharing time is limited and not all
data can be shared. Simulation results demonstrate that the proposed algorithm
doubles the area of the cooperatively perceivable region compared with a
conventional algorithm that does not consider mmWave communications because the
proposed algorithm achieves high-throughput transmission by improving spatial
reuse. The prioritization also enlarges the perceivable region by a maximum of
20%.",Networking and Internet Architecture (cs.NI),,[Submitted on 22 Mar 2019]
Rule-Based Translation of Application-Level QoS Constraints into SDN Configurations for the IoT,"Jan Seeger, Arne Bröring, Marc-Oliver Pahl, Ermin Sakic","In this paper, we propose an approach for the automated translation of
application-level requirements regarding the logical workflow and its QoS into
a configuration of the underlying network substrate. Our goal is to facilitate
the integration of QoS constraints in the development of industrial IoT
applications to make them more reliable. We follow an approach based on two
semantic models: The first model allows to design the workflow of an IoT
application and to express application-level QoS requirements on its
interactions. The second model captures the configuration of a network and can
be used as input to a north-bound interface of an SDN controller. Finally, we
make use of rule-based semantic reasoning to automatically translate from the
application requirements into SDN parameters.",Networking and Internet Architecture (cs.NI),; Information Theory (cs.IT); Logic in Computer Science (cs.LO),[Submitted on 22 Mar 2019]
Fast Bayesian Uncertainty Estimation of Batch Normalized Single Image Super-Resolution Network,"Aupendu Kar, Prabir Kumar Biswas","In recent years, deep convolutional neural network (CNN) has achieved
unprecedented success in image super-resolution (SR) task. But the black-box
nature of the neural network and due to its lack of transparency, it is hard to
trust the outcome. In this regards, we introduce a Bayesian approach for
uncertainty estimation in super-resolution network. We generate Monte Carlo
(MC) samples from a posterior distribution by using batch mean and variance as
a stochastic parameter in the batch-normalization layer during test time. Those
MC samples not only reconstruct the image from its low-resolution counterpart
but also provides a confidence map of reconstruction which will be very
impactful for practical use. We also introduce a faster approach for estimating
the uncertainty, and it can be useful for real-time applications. We validate
our results using standard datasets for performance analysis and also for
different domain-specific super-resolution task. We also estimate uncertainty
quality using standard statistical metrics and also provides a qualitative
evaluation of uncertainty for SR applications.",Computer Vision and Pattern Recognition (cs.CV),,[Submitted on 22 Mar 2019]
On Testing Data-Intensive Software Systems,"Michael Felderer, Barbara Russo, Florian Auer","Today's software systems like cyber-physical production systems or big data
systems have to process large volumes and diverse types of data which heavily
influences the quality of these so-called data-intensive systems. However,
traditional software testing approaches rather focus on functional behavior
than on data aspects. Therefore, the role of data in testing has to be
rethought and specific testing approaches for data-intensive software systems
are required. Thus, the aim of this chapter is to contribute to this area by
(1) providing basic terminology and background on data-intensive software
systems and their testing, and (2) presenting the state of the research and the
hot topics in the area. Finally, the directions of research and the new
frontiers on testing data-intensive software systems are discussed.",Software Engineering (cs.SE),,"[Submitted on 22 Mar 2019 (v1), last revised 9 Apr 2019 (this version, v2)]"
Ratiometric control for differentiation of cell populations endowed with synthetic toggle switches,"Davide Salzano, Davide Fiore, Mario di Bernardo","We consider the problem of regulating by means of external control inputs the
ratio of two cell populations. Specifically, we assume that these two cellular
populations are composed of cells belonging to the same strain which embeds
some bistable memory mechanism, e.g. a genetic toggle switch, allowing them to
switch role from one population to another in response to some inputs. We
present three control strategies to regulate the populations' ratio to
arbitrary desired values which take also into account realistic physical and
technological constraints occurring in experimental microfluidic platforms. The
designed controllers are then validated in-silico using stochastic agent-based
simulations.",Systems and Control (eess.SY),,"[Submitted on 22 Mar 2019 (v1), last revised 12 Sep 2019 (this version, v2)]"
Artificial intelligence-based process for metal scrap sorting,"Maximilian Auer, Kai Osswald, Raphael Volz, Joerg Woidasky","Machine learning offers remarkable benefits for improving workplaces and
working conditions amongst others in the recycling industry. Here e.g.
hand-sorting of medium value scrap is labor intensive and requires experienced
and skilled workers. On the one hand, they have to be highly concentrated for
making proper readings and analyses of the material, but on the other hand,
this work is monotonous. Therefore, a machine learning approach is proposed for
a quick and reliable automated identification of alloys in the recycling
industry, while the mere scrap handling is regarded to be left in the hands of
the workers. To this end, a set of twelve tool and high-speed steels from the
field were selected to be identified by their spectrum induced by electric
arcs. For data acquisition, the optical emission spectrometer Thorlabs CCS 100
was used. Spectra have been post-processed to be fed into the supervised
machine learning algorithm. The development of the machine learning software is
conducted according to the steps of the VDI 2221 standard method. For
programming Python 3 as well as the python-library sklearn were used. By
systematic parameter variation, the appropriate machine learning algorithm was
selected and validated. Subsequent validation steps showed that the automated
identification process using a machine learning approach and the optical
emission spectrometry is applicable, reaching a maximum F1 score of 96.9 %.
This performance is as good as the performance of a highly trained worker using
visual grinding spark identification. The tests were based on a self-generated
set of 600 spectra per single alloy (7,200 spectra in total) which were
produced using an industry workshop device.",Machine Learning (cs.LG),; Artificial Intelligence (cs.AI),[Submitted on 22 Mar 2019]
Rods and Rings: Soft Subdivision Planner for R^3 x S^2,"Ching-Hsiang Hsu, Yi-Jen Chiang, Chee Yap","We consider path planning for a rigid spatial robot moving amidst polyhedral
obstacles. Our robot is either a rod or a ring. Being axially-symmetric, their
configuration space is R^3 x S^2 with 5 degrees of freedom (DOF). Correct,
complete and practical path planning for such robots is a long standing
challenge in robotics. While the rod is one of the most widely studied spatial
robots in path planning, the ring seems to be new, and a rare example of a
non-simply-connected robot. This work provides rigorous and complete algorithms
for these robots with theoretical guarantees. We implemented the algorithms in
our open-source Core Library. Experiments show that they are practical,
achieving near real-time performance. We compared our planner to
state-of-the-art sampling planners in OMPL.
Our subdivision path planner is based on the twin foundations of
\epsilon-exactness and soft predicates. Correct implementation is relatively
easy. The technical innovations include subdivision atlases for S^2,
introduction of \Sigma_2 representations for footprints, and extensions of our
feature-based technique for ""opening up the blackbox of collision detection"".",Computational Geometry (cs.CG),,"[Submitted on 22 Mar 2019 (v1), last revised 7 Jun 2019 (this version, v3)]"
Parallel Adaptive Sampling with almost no Synchronization,"Alexander van der Grinten, Eugenio Angriman, Henning Meyerhenke","Approximation via sampling is a widespread technique whenever exact solutions
are too expensive. In this paper, we present techniques for an efficient
parallelization of adaptive (a. k. a. progressive) sampling algorithms on
multi-threaded shared-memory machines. Our basic algorithmic technique requires
no synchronization except for atomic load-acquire and store-release operations.
It does, however, require O(n) memory per thread, where n is the size of the
sampling state. We present variants of the algorithm that either reduce this
memory consumption to O(1) or ensure that deterministic results are obtained.
Using the KADABRA algorithm for betweenness centrality (a popular measure in
network analysis) approximation as a case study, we demonstrate the empirical
performance of our techniques. In particular, on a 32-core machine, our best
algorithm is 2.9x faster than what we could achieve using a straightforward
OpenMP-based parallelization and 65.3x faster than the existing implementation
of KADABRA.","Distributed, Parallel, and Cluster Computing (cs.DC)",,[Submitted on 22 Mar 2019]
An end-to-end Neural Network Framework for Text Clustering,"Jie Zhou, Xingyi Cheng, Jinchao Zhang","The unsupervised text clustering is one of the major tasks in natural
language processing (NLP) and remains a difficult and complex problem.
Conventional \mbox{methods} generally treat this task using separated steps,
including text representation learning and clustering the representations. As
an improvement, neural methods have also been introduced for continuous
representation learning to address the sparsity problem. However, the
multi-step process still deviates from the unified optimization target.
Especially the second step of cluster is generally performed with conventional
methods such as k-Means. We propose a pure neural framework for text clustering
in an end-to-end manner. It jointly learns the text representation and the
clustering model. Our model works well when the context can be obtained, which
is nearly always the case in the field of NLP. We have our method
\mbox{evaluated} on two widely used benchmarks: IMDB movie reviews for
sentiment classification and $20$-Newsgroup for topic categorization. Despite
its simplicity, experiments show the model outperforms previous clustering
methods by a large margin. Furthermore, the model is also verified on English
wiki dataset as a large corpus.",Computation and Language (cs.CL),,[Submitted on 22 Mar 2019]
Commitment Nets in Software Process Improvement,Pekka Abrahamsson,"Several studies have revealed the fact that nearly two-thirds of all software
process improvement (SPI) efforts have failed or have at least fallen short of
expectations. Literature and practice have shown that commitment to SPI at all
organizational levels is essential for the success of any SPI endeavor. A
research model for studying the existence, development and interplay of
SPI-related commitment is introduced in this paper. This study suggests that
software organizations operate through strategic, operational and personal
commitment nets. These nets consist of actors, drivers, concerns, actions,
commitment, and outcomes. The commitment nets model is applied in a study of
four industrial SPI initiatives. The results from two of these cases are
reported here. The results show that SPI is driven through the formation and
reformation of commitment nets. The contents of strategic, operational and
personal commitment nets are laid out and implications are discussed.",Software Engineering (cs.SE),,[Submitted on 22 Mar 2019]
Speed and Energy Optimised Quasi-Delay-Insensitive Block Carry Lookahead Adder,"P. Balasubramanian, D.L. Maskell, N.E. Mastorakis","We present a new asynchronous quasi-delay-insensitive (QDI) block carry
lookahead adder with redundancy carry (BCLARC) realized using delay-insensitive
dual-rail data encoding and 4-phase return-to-zero (RTZ) and 4-phase
return-to-one (RTO) handshaking. The proposed QDI BCLARC is found to be faster
and energy-efficient than the existing asynchronous adders which are QDI and
non-QDI (i.e., relative-timed). Compared to existing asynchronous adders
corresponding to various architectures such as ripple carry adder (RCA),
conventional carry lookahead adder (CCLA), carry select adder (CSLA), BCLARC,
and hybrid BCLARC-RCA, the proposed BCLARC is found to be faster and more
energy-optimised. The cycle time (CT), which is the sum of forward and reverse
latencies, governs the speed; and the product of average power dissipation and
cycle time viz. the power-cycle time product (PCTP) defines the low
power/energy efficiency. For a 32-bit addition, the proposed QDI BCLARC
achieves the following average reductions in design metrics over its
counterparts when considering RTZ and RTO handshaking: i) 20.5% and 19.6%
reductions in CT and PCTP respectively compared to an optimum QDI early output
RCA, ii) 16.5% and 15.8% reductions in CT and PCTP respectively compared to an
optimum relative-timed RCA, iii) 32.9% and 35.9% reductions in CT and PCTP
respectively compared to an optimum uniform input-partitioned QDI early output
CSLA, iv) 47.5% and 47.2% reductions in CT and PCTP respectively compared to an
optimum QDI early output CCLA, v) 14.2% and 27.3% reductions in CT and PCTP
respectively compared to an optimum QDI early output BCLARC, and vi) 12.2% and
11.6% reductions in CT and PCTP respectively compared to an optimum QDI early
output hybrid BCLARC-RCA. The adders were implemented using a 32/28nm CMOS
technology.",Hardware Architecture (cs.AR),,[Submitted on 22 Mar 2019]
Sampling Acquisition Functions for Batch Bayesian Optimization,"Alessandro De Palma, Celestine Mendler-Dünner, Thomas Parnell, Andreea Anghel, Haralampos Pozidis","We present Acquisition Thompson Sampling (ATS), a novel technique for batch
Bayesian Optimization (BO) based on the idea of sampling multiple acquisition
functions from a stochastic process. We define this process through the
dependency of the acquisition functions on a set of model hyper-parameters. ATS
is conceptually simple, straightforward to implement and, unlike other batch BO
methods, it can be employed to parallelize any sequential acquisition function
or to make existing parallel methods scale further. We present experiments on a
variety of benchmark functions and on the hyper-parameter optimization of a
popular gradient boosting tree algorithm. These demonstrate the advantages of
ATS with respect to classical parallel Thompson Sampling for BO, its
competitiveness with two state-of-the-art batch BO methods, and its
effectiveness if applied to existing parallel BO algorithms.",Machine Learning (cs.LG),; Machine Learning (stat.ML),"[Submitted on 22 Mar 2019 (v1), last revised 16 Oct 2019 (this version, v2)]"
