title,author,abstractstract,main_subject,other_subjects,submission_date
"Robust Super-Resolution GAN, with Manifold-based and Perception Loss","Uddeshya Upadhyay, Suyash P. Awate","Super-resolution using deep neural networks typically relies on highly
curated training sets that are often unavailable in clinical deployment
scenarios. Using loss functions that assume Gaussian-distributed residuals
makes the learning sensitive to corruptions in clinical training sets. We
propose novel loss functions that are robust to corruptions in training sets by
modeling heavy-tailed non-Gaussian distributions on the residuals. We propose a
loss based on an autoencoder-based manifold-distance between the super-resolved
and high-resolution images, to reproduce realistic textural content in
super-resolved images. We propose to learn to super-resolve images to match
human perceptions of structure, luminance, and contrast. Results on a large
clinical dataset shows the advantages of each of our contributions, where our
framework improves over the state of the art.",Computer Vision and Pattern Recognition (cs.CV),,[Submitted on 16 Mar 2019]
A new Capacity-Achieving Private Information Retrieval Scheme with (Almost) Optimal File Length for Coded Servers,"Jinbao Zhu, Qifa Yan, Chao Qi, Xiaohu Tang","In a distributed storage system, private information retrieval (PIR)
guarantees that a user retrieves one file from the system without revealing any
information about the identity of its interested file to any individual server.
In this paper, we investigate $(N,K,M)$ coded sever model of PIR, where each of
$M$ files is distributed to the $N$ servers in the form of $(N,K)$ maximum
distance separable (MDS) code for some $N>K$ and $M>1$. As a result, we propose
a new capacity-achieving $(N,K,M)$ coded linear PIR scheme such that it can be
implemented with file length $\frac{K(N-K)}{\gcd(N,K)}$, which is much smaller
than the previous best result $K\big(\frac{N}{\gcd(N,K)}\big)^{M-1}$. Notably,
among all the capacity-achieving coded linear PIR schemes, we show that the
file length is optimal if $M>\big\lfloor
\frac{K}{\gcd(N,K)}-\frac{K}{N-K}\big\rfloor+1$, and within a multiplicative
gap $\frac{K}{\gcd(N,K)}$ of a lower bound on the minimum file length
otherwise.",Information Theory (cs.IT),,[Submitted on 16 Mar 2019]
Real time backbone for semantic segmentation,"Zhengeng Yang, Hongshan Yu, Qiang Fu, Wei Sun, Wenyan Jia, Mingui Sun, Zhi-Hong Mao","The rapid development of autonomous driving in recent years presents lots of
challenges for scene understanding. As an essential step towards scene
understanding, semantic segmentation thus received lots of attention in past
few years. Although deep learning based state-of-the-arts have achieved great
success in improving the segmentation accuracy, most of them suffer from an
inefficiency problem and can hardly applied to practical applications. In this
paper, we systematically analyze the computation cost of Convolutional Neural
Network(CNN) and found that the inefficiency of CNN is mainly caused by its
wide structure rather than the deep structure. In addition, the success of
pruning based model compression methods proved that there are many redundant
channels in CNN. Thus, we designed a very narrow while deep backbone network to
improve the efficiency of semantic segmentation. By casting our network to
FCN32 segmentation architecture, the basic structure of most segmentation
methods, we achieved 60.6\% mIoU on Cityscape val dataset with 54 frame per
seconds(FPS) on $1024\times2048$ inputs, which already outperforms one of the
earliest real time deep learning based segmentation methods: ENet.",Computer Vision and Pattern Recognition (cs.CV),,[Submitted on 16 Mar 2019]
Spatiotemporal Feature Learning for Event-Based Vision,"Rohan Ghosh, Anupam Gupta, Siyi Tang, Alcimar Soares, Nitish Thakor","Unlike conventional frame-based sensors, event-based visual sensors output
information through spikes at a high temporal resolution. By only encoding
changes in pixel intensity, they showcase a low-power consuming, low-latency
approach to visual information sensing. To use this information for higher
sensory tasks like object recognition and tracking, an essential simplification
step is the extraction and learning of features. An ideal feature descriptor
must be robust to changes involving (i) local transformations and (ii)
re-appearances of a local event pattern. To that end, we propose a novel
spatiotemporal feature representation learning algorithm based on slow feature
analysis (SFA). Using SFA, smoothly changing linear projections are learnt
which are robust to local visual transformations. In order to determine if the
features can learn to be invariant to various visual transformations, feature
point tracking tasks are used for evaluation. Extensive experiments across two
datasets demonstrate the adaptability of the spatiotemporal feature learner to
translation, scaling and rotational transformations of the feature points. More
importantly, we find that the obtained feature representations are able to
exploit the high temporal resolution of such event-based cameras in generating
better feature tracks.",Computer Vision and Pattern Recognition (cs.CV),,[Submitted on 16 Mar 2019]
Zero Forcing Detection For Short Packet Transmission Under Channel Estimation Errors,"Nikolaos I. Miridakis, Theodoros A. Tsiftsis, Hui-Ming Wang","A multiuser multiple-input multiple-output wireless communication system is
analytically studied under the short-packet transmission regime. The practical
scenario of channel estimation errors is adopted when the signals undergo
Rayleigh channel fading conditions. Unlike most previous works, the channel
estimation error term is treated as a signal rather than interference or noise,
which may further enhance the overall system performance. The spatial
multiplexing mode of transmit operation is considered, while the zero-forcing
detection is applied at the receiver. New and exact closed-form expressions for
the outage probability and total system goodput are derived. Capitalizing on
the analytical results, some new engineering insights are also presented; such
as the impact of channel estimation errors with respect to the number of
antennas, transmit power, and/or coding rate.",Information Theory (cs.IT),,[Submitted on 16 Mar 2019]
Pythia: a Framework for the Automated Analysis of Web Hosting Environments,"Srdjan Matic, Gareth Tyson, Gianluca Stringhini","A common approach when setting up a website is to utilize third party Web
hosting and content delivery networks. Without taking this trend into account,
any measurement study inspecting the deployment and operation of websites can
be heavily skewed. Unfortunately, the research community lacks generalizable
tools that can be used to identify how and where a given website is hosted.
Instead, a number of ad hoc techniques have emerged, e.g., using Autonomous
System databases, domain prefixes for CNAME records. In this work we propose
Pythia, a novel lightweight approach for identifying Web content hosted on
third-party infrastructures, including both traditional Web hosts and content
delivery networks. Our framework identifies the organization to which a given
Web page belongs, and it detects which Web servers are self-hosted and which
ones leverage third-party services to provide contents. To test our framework
we run it on 40,000 URLs and evaluate its accuracy, both by comparing the
results with similar services and with a manually validated groundtruth. Our
tool achieves an accuracy of 90% and detects that under 11% of popular domains
are self-hosted. We publicly release our tool to allow other researchers to
reproduce our findings, and to apply it to their own studies.",Networking and Internet Architecture (cs.NI),,"[Submitted on 16 Mar 2019 (v1), last revised 13 May 2019 (this version, v2)]"
Architecture for Integrating Learning Platforms Using Adapter,"Ali Baba Dauda, Auwal Idris, Suleiman Umar, Peter Mshelia, AbdulAziz Ibrahim","The advantage of the electronic and mobile learning platforms is the
dissemination of learning contents with ease, but these operate differently to
exchange the learning the learning contents from the server to the client.
integrating these learning platforms to operate as a single platform and
exchange the contents based on learners' request could improve the learning
efficiency and reduce the operational cost. this work introduces a Web Services
approach based on the client-server model to develop an integrated architecture
that join the two learning platforms. in this paper the architecture of the
learning platforms is presented and explained. furthermore, an adapter in a
form of Web services is developed and as a middleware for the client-server
communication.",Software Engineering (cs.SE),,[Submitted on 16 Mar 2019]
swCaffe: a Parallel Framework for Accelerating Deep Learning Applications on Sunway TaihuLight,"Jiarui Fang, Liandeng Li, Haohuan Fu, Jinlei Jiang, Wenlai Zhao, Conghui He, Xin You, Guangwen Yang","This paper reports our efforts on swCaffe, a highly efficient parallel
framework for accelerating deep neural networks (DNNs) training on Sunway
TaihuLight, the current fastest supercomputer in the world that adopts a unique
many-core heterogeneous architecture, with 40,960 SW26010 processors connected
through a customized communication network. First, we point out some insightful
principles to fully exploit the performance of the innovative many-core
architecture. Second, we propose a set of optimization strategies for
redesigning a variety of neural network layers based on Caffe. Third, we put
forward a topology-aware parameter synchronization scheme to scale the
synchronous Stochastic Gradient Descent (SGD) method to multiple processors
efficiently. We evaluate our framework by training a variety of widely used
neural networks with the ImageNet dataset. On a single node, swCaffe can
achieve 23\%\~{}119\% overall performance compared with Caffe running on K40m
GPU. As compared with the Caffe on CPU, swCaffe runs 3.04\~{}7.84x faster on
all the networks. Finally, we present the scalability of swCaffe for the
training of ResNet-50 and AlexNet on the scale of 1024 nodes.","Distributed, Parallel, and Cluster Computing (cs.DC)",; Machine Learning (cs.LG),[Submitted on 16 Mar 2019]
Improving Lemmatization of Non-Standard Languages with Joint Learning,"Enrique Manjavacas, Ákos Kádár, Mike Kestemont","Lemmatization of standard languages is concerned with (i) abstracting over
morphological differences and (ii) resolving token-lemma ambiguities of
inflected words in order to map them to a dictionary headword. In the present
paper we aim to improve lemmatization performance on a set of non-standard
historical languages in which the difficulty is increased by an additional
aspect (iii): spelling variation due to lacking orthographic standards. We
approach lemmatization as a string-transduction task with an encoder-decoder
architecture which we enrich with sentence context information using a
hierarchical sentence encoder. We show significant improvements over the
state-of-the-art when training the sentence encoder jointly for lemmatization
and language modeling. Crucially, our architecture does not require POS or
morphological annotations, which are not always available for historical
corpora. Additionally, we also test the proposed model on a set of
typologically diverse standard languages showing results on par or better than
a model without enhanced sentence representations and previous state-of-the-art
systems. Finally, to encourage future work on processing of non-standard
varieties, we release the dataset of non-standard languages underlying the
present study, based on openly accessible sources.",Computation and Language (cs.CL),,[Submitted on 16 Mar 2019]
Unsupervised Part-Based Disentangling of Object Shape and Appearance,"Dominik Lorenz, Leonard Bereska, Timo Milbich, Björn Ommer","Large intra-class variation is the result of changes in multiple object
characteristics. Images, however, only show the superposition of different
variable factors such as appearance or shape. Therefore, learning to
disentangle and represent these different characteristics poses a great
challenge, especially in the unsupervised case. Moreover, large object
articulation calls for a flexible part-based model. We present an unsupervised
approach for disentangling appearance and shape by learning parts consistently
over all instances of a category. Our model for learning an object
representation is trained by simultaneously exploiting invariance and
equivariance constraints between synthetically transformed images. Since no
part annotation or prior information on an object class is required, the
approach is applicable to arbitrary classes. We evaluate our approach on a wide
range of object categories and diverse tasks including pose prediction,
disentangled image synthesis, and video-to-video translation. The approach
outperforms the state-of-the-art on unsupervised keypoint prediction and
compares favorably even against supervised approaches on the task of shape and
appearance transfer.",Computer Vision and Pattern Recognition (cs.CV),,"[Submitted on 16 Mar 2019 (v1), last revised 17 Jun 2019 (this version, v3)]"
Hand range of motion evaluation for Rheumatoid Arthritis patients,"Luciano Walenty Xavier Cejnog, Roberto Marcondes Cesar Jr., Teofilo Emidio de Campos, Valeria Meirelles Carril Elui","We introduce a framework for dynamic evaluation of the fingers movements:
flexion, extension, abduction and adduction. This framework estimates angle
measurements from joints computed by a hand pose estimation algorithm using a
depth sensor (Realsense SR300). Given depth maps as input, our framework uses
Pose-REN, which is a state-of-art hand pose estimation method that estimates 3D
hand joint positions using a deep convolutional neural network. The pose
estimation algorithm runs in real-time, allowing users to visualise 3D skeleton
tracking results at the same time as the depth images are acquired. Once 3D
joint poses are obtained, our framework estimates a plane containing the wrist
and MCP joints and measures flexion/extension and abduction/aduction angles by
applying computational geometry operations with respect to this plane. We
analysed flexion and abduction movement patterns using real data, extracting
the movement trajectories. Our preliminary results show that this method allows
an automatic discrimination of hands with Rheumatoid Arthritis (RA) and healthy
patients. The angle between joints can be used as an indicative of current
movement capabilities and function. Although the measurements can be noisy and
less accurate than those obtained statically through goniometry, the
acquisition is much easier, non-invasive and patient-friendly, which shows the
potential of our approach. The system can be used with and without orthosis.
Our framework allows the acquisition of measurements with minimal intervention
and significantly reduces the evaluation time.",Computer Vision and Pattern Recognition (cs.CV),,[Submitted on 16 Mar 2019]
A Partition-centric Distributed Algorithm for Identifying Euler Circuits in Large Graphs,"Siddharth D Jaiswal, Yogesh Simmhan","Finding the Eulerian circuit in graphs is a classic problem, but inadequately
explored for parallel computation. With such cycles finding use in neuroscience
and Internet of Things for large graphs, designing a distributed algorithm for
finding the Euler circuit is important. Existing parallel algorithms are
impractical for commodity clusters and Clouds. We propose a novel
partition-centric algorithm to find the Euler circuit, over large graphs
partitioned across distributed machines and executed iteratively using a Bulk
Synchronous Parallel (BSP) model. The algorithm finds partial paths and cycles
within each partition, and refines these into longer paths by recursively
merging the partitions. We describe the algorithm, analyze its complexity,
validate it on Apache Spark for large graphs, and offer experimental results.
We also identify memory bottlenecks in the algorithm and propose an enhanced
design to address it.","Distributed, Parallel, and Cluster Computing (cs.DC)",,[Submitted on 16 Mar 2019]
Imbalanced multi-label classification using multi-task learning with extractive summarization,John Brandt,"Extractive summarization and imbalanced multi-label classification often
require vast amounts of training data to avoid overfitting. In situations where
training data is expensive to generate, leveraging information between tasks is
an attractive approach to increasing the amount of available information. This
paper employs multi-task training of an extractive summarizer and an RNN-based
classifier to improve summarization and classification accuracy by 50% and 75%,
respectively, relative to RNN baselines. We hypothesize that concatenating
sentence encodings based on document and class context increases
generalizability for highly variable corpuses.",Computation and Language (cs.CL),,[Submitted on 16 Mar 2019]
Feather: A Feature Model Transformation Language,Ahmet Serkan Karataş,"Feature modeling has been a very popular approach for variability management
in software product lines. Building a feature model requires substantial domain
expertise, however, even experts cannot foresee all future possibilities.
Changing requirements can force a feature model to evolve in order to adapt to
the new conditions. Feather is a language to describe model transformations
that will evolve a feature model. This article presents the structure and
foundations of Feather. First, the language elements, which consist of
declarations to characterize the model to evolve and commands to manipulate its
structure, are introduced. Then, semantics grounding in feature model
properties are given for the commands in order to provide precise command
definitions. Next, an interpreter that can realize the transformations
described by the commands in a Feather script is presented. Finally,
effectiveness of the language is discussed using two realistic examples, where
one of the examples includes a system from a dynamic environment and the other
employs a system that has a large feature model containing 1,227 features.",Software Engineering (cs.SE),,[Submitted on 16 Mar 2019]
Domain adaptation for holistic skin detection,"Aloisio Dourado, Frederico Guth, Teofilo Emidio de Campos, Li Weigang","Human skin detection in images is a widely studied topic of Computer Vision
for which it is commonly accepted that analysis of pixel color or local patches
may suffice. This is because skin regions appear to be relatively uniform and
many argue that there is a small chromatic variation among different samples.
However, we found that there are strong biases in the datasets commonly used to
train or tune skin detection methods. Furthermore, the lack of contextual
information may hinder the performance of local approaches. In this paper we
present a comprehensive evaluation of holistic and local Convolutional Neural
Network (CNN) approaches on in-domain and cross-domain experiments and compare
with state-of-the-art pixel-based approaches. We also propose a combination of
inductive transfer learning and unsupervised domain adaptation methods, which
are evaluated on different domains under several amounts of labelled data
availability. We show a clear superiority of CNN over pixel-based approaches
even without labelled training samples on the target domain. Furthermore, we
provide experimental support for the counter-intuitive superiority of holistic
over local approaches for human skin detection.",Computer Vision and Pattern Recognition (cs.CV),,"[Submitted on 16 Mar 2019 (v1), last revised 28 Mar 2020 (this version, v2)]"
Prescribed-time convergence with input constraints: A control Lyapunov function based approach,"Kunal Garg, Ehsan Arabi, Dimitra Panagou","In this paper, we present a control framework for a general class of
control-affine nonlinear systems under spatiotemporal and input constraints.
Specifically, the proposed control architecture addresses the problem of
reaching a given final set $S$ in a prescribed (user-defined) time with bounded
control inputs. To this end, a time transformation technique is utilized to
transform the system subject to temporal constraints into an equivalent form
without temporal constraints. The transformation is defined so that asymptotic
convergence in the transformed time scale results into prescribed-time
convergence in the original time scale. To incorporate input constraints, we
characterize a set of initial conditions $D_M$ such that starting from this
set, the closed-loop trajectories reach the set $S$ within the prescribed time.
We further show that starting from outside the set $D_M$, the system
trajectories reach the set $D_M$ in a finite time that depends upon the initial
conditions and the control input bounds. We use a novel parameter $\mu$ in the
controller, that controls the convergence-rate of the closed-loop trajectories
and dictates the size of the set $D_M$. Finally, we present a numerical example
to showcase the efficacy of our proposed method.",Systems and Control (eess.SY),; Optimization and Control (math.OC),[Submitted on 16 Mar 2019]
A Principal-Agent Model of Systems Engineering Processes with Application to Satellite Design,"Salar Safarkhani, Vikranth Reddy Kattakuri, Ilias Bilionis, Jitesh Panchal","We present a principal-agent model of a one-shot, shallow, systems
engineering process. The process is one-shot in the sense that decisions are
made during one time step and that they are final. The term shallow refers to a
one-layer hierarchy of the process. Specifically, we assume that the systems
engineer has already decomposed the problem in subsystems, and that each
subsystem is assigned to a different subsystem engineer. Each subsystem
engineer works independently to maximize their own expected payoff. The goal of
the systems engineer is to maximize the system-level payoff by incentivizing
the subsystem engineers. We restrict our attention to requirement-based
system-level payoffs, i.e., the systems engineer makes a profit only if all the
design requirements are met. We illustrate the model using the design of an
Earth-orbiting satellite system where the systems engineer determines the
optimum incentive structures and requirements for two subsystems: the
propulsion subsystem and the power subsystem. The model enables the analysis of
a systems engineer's decisions about optimal passed-down requirements and
incentives for sub-system engineers under different levels of task difficulty
and associated costs. Sample results, for the case of risk-neutral systems and
subsystems engineers, show that it is not always in the best interest of the
systems engineer to pass down the true requirements. As expected, the model
predicts that for small to moderate task uncertainties the optimal requirements
are higher than the true ones, effectively eliminating the probability of
failure for the systems engineer. In contrast, the model predicts that for
large task uncertainties the optimal requirements should be smaller than the
true ones in order to lure the subsystem engineers into participation.",Multiagent Systems (cs.MA),,[Submitted on 16 Mar 2019]
Token Swapping on Trees,"Ahmad Biniaz, Kshitij Jain, Anna Lubiw, Zuzana Masárová, Tillmann Miltzow, Debajyoti Mondal, Anurag Murty Naredla, Josef Tkadlec, Alexi Turcotte","The input to the token swapping problem is a graph with vertices $v_1, v_2,
\ldots, v_n$, and $n$ tokens with labels $1, 2, \ldots, n$, one on each vertex.
The goal is to get token $i$ to vertex $v_i$ for all $i= 1, \ldots, n$ using a
minimum number of \emph{swaps}, where a swap exchanges the tokens on the
endpoints of an edge.
Token swapping on a tree, also known as ""sorting with a transposition tree"",
is not known to be in P nor NP-complete. We present some partial results:
1. An optimum swap sequence may need to perform a swap on a leaf vertex that
has the correct token (a ""happy leaf""), disproving a conjecture of Vaughan.
2. Any algorithm that fixes happy leaves---as all known approximation
algorithms for the problem do---has approximation factor at least $4/3$.
Furthermore, the two best-known 2-approximation algorithms have approximation
factor exactly 2.
3. A generalized problem---weighted coloured token swapping---is NP-complete
on trees, but solvable in polynomial time on paths and stars. In this version,
tokens and vertices have colours, and colours have weights. The goal is to get
every token to a vertex of the same colour, and the cost of a swap is the sum
of the weights of the two tokens involved.",Computational Complexity (cs.CC),; Data Structures and Algorithms (cs.DS),"[Submitted on 16 Mar 2019 (v1), last revised 21 May 2019 (this version, v2)]"
Computing the intersection of two quadrics through projection and lifting,"Alexandre Trocado, Laureano Gonzalez-Vega","This paper is devoted to presenting a new approach to determine the
intersection of two quadrics based on the detailed analysis of its projection
in the plane (the so called cutcurve) allowing to perform the corresponding
lifting correctly. This approach is based on a new computational
characterisation of the singular points of the cutcurve and on how this curve
is located with respect to the projection of the considered quadrics (whose
boundaries are the so called silhouette curves).",Computational Geometry (cs.CG),,"[Submitted on 16 Mar 2019 (v1), last revised 25 Jun 2019 (this version, v2)]"
Distributed Multi-sensor Multi-view Fusion based on Generalized Covariance Intersection,"Guchong Li, Giorgio Battistelli, Wei Yi, Lingjiang Kong","Distributed multi-target tracking (DMTT) is addressed for sensors having
different fields of view (FoVs). The proposed approach is based on the idea of
fusing the posterior Probability Hypotheses Densities (PHDs) generated by the
sensors on the basis of the local measurements. An efficient and robust
distributed fusion algorithm combining the Generalized Covariance Intersection
(GCI) rule with a suitable Clustering Algorithm (CA) is proposed. The CA is
used to decompose each posterior PHD into well-separated components (clusters).
For the commonly detected targets, an efficient parallelized GCI fusion
strategy is proposed and analyzed in terms of $L_1$ error. For the remaining
targets, a suitable compensation strategy is adopted so as to counteract the
GCI sensitivity to independent detections while reducing the occurrence of
false targets. Detailed implementation steps using a Gaussian Mixture (GM)
representation of the PHDs are provided. Numerical experiments clearly confirms
the effectiveness of the proposed CA-GCI fusion algorithm.",Systems and Control (eess.SY),,[Submitted on 16 Mar 2019]
Visual Query Answering by Entity-Attribute Graph Matching and Reasoning,"Peixi Xiong, Huayi Zhan, Xin Wang, Baivab Sinha, Ying Wu","Visual Query Answering (VQA) is of great significance in offering people
convenience: one can raise a question for details of objects, or high-level
understanding about the scene, over an image. This paper proposes a novel
method to address the VQA problem. In contrast to prior works, our method that
targets single scene VQA, replies on graph-based techniques and involves
reasoning. In a nutshell, our approach is centered on three graphs. The first
graph, referred to as inference graph GI , is constructed via learning over
labeled data. The other two graphs, referred to as query graph Q and
entity-attribute graph GEA, are generated from natural language query Qnl and
image Img, that are issued from users, respectively. As GEA often does not take
sufficient information to answer Q, we develop techniques to infer missing
information of GEA with GI . Based on GEA and Q, we provide techniques to find
matches of Q in GEA, as the answer of Qnl in Img. Unlike commonly used VQA
methods that are based on end-to-end neural networks, our graph-based method
shows well-designed reasoning capability, and thus is highly interpretable. We
also create a dataset on soccer match (Soccer-VQA) with rich annotations. The
experimental results show that our approach outperforms the state-of-the-art
method and has high potential for future investigation.",Computer Vision and Pattern Recognition (cs.CV),,[Submitted on 16 Mar 2019]
SLSGD: Secure and Efficient Distributed On-device Machine Learning,"Cong Xie, Sanmi Koyejo, Indranil Gupta","We consider distributed on-device learning with limited communication and
security requirements. We propose a new robust distributed optimization
algorithm with efficient communication and attack tolerance. The proposed
algorithm has provable convergence and robustness under non-IID settings.
Empirical results show that the proposed algorithm stabilizes the convergence
and tolerates data poisoning on a small number of workers.",Machine Learning (cs.LG),"; Distributed, Parallel, and Cluster Computing (cs.DC); Machine Learning (stat.ML)","[Submitted on 16 Mar 2019 (v1), last revised 1 Oct 2019 (this version, v3)]"
Extensions of Abelian Automata Groups,Chris Grossack,"A theorem of Nekrashevych and Sidki shows the Mealy Automata structures one
can place on Z^m are parametrized by a family of matrices (called
""1/2-integral"") and a choice of residuation vector e in Z^m. While the impact
of the chosen matrix is well understood, the impact of the residuation vector
on the resulting structure is seemingly sporadic. In this paper we characterize
the impact of the residuation vector e by recognizing an initial structure when
e is the first standard basis vector. All other choices of e extend this
initial structure by adding ""fractional elements"" in a way we make precise.",Formal Languages and Automata Theory (cs.FL),,"[Submitted on 16 Mar 2019 (v1), last revised 19 Aug 2020 (this version, v2)]"
GFD-SSD: Gated Fusion Double SSD for Multispectral Pedestrian Detection,"Yang Zheng, Izzat H. Izzat, Shahrzad Ziaee","Pedestrian detection is an essential task in autonomous driving research. In
addition to typical color images, thermal images benefit the detection in dark
environments. Hence, it is worthwhile to explore an integrated approach to take
advantage of both color and thermal images simultaneously. In this paper, we
propose a novel approach to fuse color and thermal sensors using deep neural
networks (DNN). Current state-of-the-art DNN object detectors vary from
two-stage to one-stage mechanisms. Two-stage detectors, like Faster-RCNN,
achieve higher accuracy, while one-stage detectors such as Single Shot Detector
(SSD) demonstrate faster performance. To balance the trade-off, especially in
the consideration of autonomous driving applications, we investigate a fusion
strategy to combine two SSDs on color and thermal inputs. Traditional fusion
methods stack selected features from each channel and adjust their weights. In
this paper, we propose two variations of novel Gated Fusion Units (GFU), that
learn the combination of feature maps generated by the two SSD middle layers.
Leveraging GFUs for the entire feature pyramid structure, we propose several
mixed versions of both stack fusion and gated fusion. Experiments are conducted
on the KAIST multispectral pedestrian detection dataset. Our Gated Fusion
Double SSD (GFD-SSD) outperforms the stacked fusion and achieves the lowest
miss rate in the benchmark, at an inference speed that is two times faster than
Faster-RCNN based fusion networks.",Computer Vision and Pattern Recognition (cs.CV),; Machine Learning (cs.LG); Image and Video Processing (eess.IV),"[Submitted on 16 Mar 2019 (v1), last revised 21 Mar 2019 (this version, v2)]"
Effect of Serialized Messaging on Web Services Performance,"Ali Baba Dauda, Zerdoumi Saber, Faiz Alotaibi, Muhammad A. Mustapha, Muhamad Taufik Abdullah","Serialized messages are processed at the server and sent as objects over the
network to the client to be consumed.","Distributed, Parallel, and Cluster Computing (cs.DC)",,[Submitted on 16 Mar 2019]
Task Decomposition for Iterative Learning Model Predictive Control,"Charlott Vallon, Francesco Borrelli","A task decomposition method for iterative learning model predictive control
is presented. We consider a constrained nonlinear dynamical system and assume
the availability of state-input pair datasets which solve a task T1. Our
objective is to find a feasible model predictive control policy for a second
task, T2, using stored data from T1. Our approach applies to tasks T2 which are
composed of subtasks contained in T1. In this paper we propose a formal
definition of subtasks and the task decomposition problem, and provide proofs
of feasibility and iteration cost improvement over simple initializations. We
demonstrate the effectiveness of the proposed method on autonomous racing and
robotic manipulation experiments.",Systems and Control (eess.SY),; Machine Learning (cs.LG),"[Submitted on 16 Mar 2019 (v1), last revised 11 Mar 2020 (this version, v4)]"
Network topology design to influence the effects of manipulative behaviors in a social choice procedure,"Athanasios-Rafail Lagos, George P. Papavassilopoulos","A social choice procedure is modeled as a repeated Nash game between the
social agents, who are communicating with each other through a social
communication network modeled by an undirected graph. The agents' criteria for
this game are describing a trade off between self-consistent and manipulative
behaviors. Their best response strategies are resulting in two dynamics rules,
one for the agents' opinions and one for their actions. The stability
properties of these dynamics are studied. In the case of instability, the
stabilization of these dynamics through the design of the network topology is
formulated as a constrained integer programming problem. The constraints have
the form of a Bilinear Matrix Inequality (BMI), which is known to result in a
nonconvex feasible set in the general case. To deal with this problem a Genetic
Algorithm is designed. Finally, simulations are presented for several different
initial topologies and conclusions are derived concerning both the
functionality of the algorithm and the advisability of the problem formulation.",Systems and Control (eess.SY),,[Submitted on 16 Mar 2019]
Leveling the Playing Field -- Fairness in AI Versus Human Game Benchmarks,"Rodrigo Canaan, Christoph Salge, Julian Togelius, Andy Nealen","From the beginning if the history of AI, there has been interest in games as
a platform of research. As the field developed, human-level competence in
complex games became a target researchers worked to reach. Only relatively
recently has this target been finally met for traditional tabletop games such
as Backgammon, Chess and Go. Current research focus has shifted to electronic
games, which provide unique challenges. As is often the case with AI research,
these results are liable to be exaggerated or misrepresented by either authors
or third parties. The extent to which these games benchmark consist of fair
competition between human and AI is also a matter of debate. In this work, we
review the statements made by authors and third parties in the general media
and academic circle about these game benchmark results and discuss factors that
can impact the perception of fairness in the contest between humans and
machines",Artificial Intelligence (cs.AI),,"[Submitted on 17 Mar 2019 (v1), last revised 29 Aug 2019 (this version, v4)]"
Multi-Authority Attribute-Based Access Control with Smart Contract,"Hao Guo, Ehsan Meamari, Chien-Chung Shen","Attribute-based access control makes access control decisions based on the
assigned attributes of subjects and the access policies to protect objects by
mediating operations from the subjects. Authority, which validates attributes
of subjects, is one key component to facilitate attribute-based access control.
In an increasingly decentralized society, multiple attributes possessed by
subjects may need to be validated by multiple different authorities. This paper
proposes a multi-authority attribute-based access control scheme by using
Ethereum's smart contracts. In the proposed scheme, Ethereum smart contracts
are created to define the interactions between data owner, data user, and
multiple attribute authorities. A data user presents its attributes to
different attribute authorities, and after successful validation of attributes,
obtains attribute tokens from respective attribute authorities. After
collecting enough attribute tokens, a smart contract will be executed to issue
secret key to the data user to access the requested object. The smart contracts
for multi-authority attribute-based access control have been prototyped in
Solidity, and their performance has been evaluated on the Rinkeby Ethereum
Testnet.",Cryptography and Security (cs.CR),,"[Submitted on 17 Mar 2019 (v1), last revised 16 Sep 2019 (this version, v4)]"
"BRTSim, a general-purpose computational solver for hydrological, biogeochemical, and ecosystem dynamics",Federico Maggi,"This paper introduces the recent release v3.1a of BRTSim (BioReactive
Transport Simulator), a general-purpose multiphase and multi-species liquid,
gas and heat flow solver for reaction-advection-dispersion processes in porous
and non-porous media with application in hydrology and biogeochemistry. Within
the philosophy of the BRTSim platform, the user can define (1) arbitrary
chemical and biological species; (2) arbitrary chemical and biological
reactions; (3) arbitrary equilibrium reactions; and (4) combine solvers for
phases and heat flows as well as for specialized biological processes such as
bioclogging and chemotaxis. These capabilities complement a suite of processes
and process-feedback solvers not currently available in other general-purpose
codes. Along with the flexibility to design arbitrarily complex reaction
networks, and setup and synchronize solvers through one input text file, BRTSim
can communicate with third-party software with ease. Here, four cases study
that combine experimental observations and modeling with BRTSim are reported:
(i) water table dynamics in a heterogeneous aquifer for variable
hydrometeorological conditions; (ii) soil biological clogging by cells and
exopolymers; (iii) biotic degradation and isotopic fractionation of nitrate;
and (iv) dispersion and biodegradation of atrazine herbicide in agricultural
crops.","Computational Engineering, Finance, and Science (cs.CE)",,[Submitted on 17 Mar 2019]
